iter	Passed	Remaining
801	1096	270
802	1096	269
803	1097	267
804	1098	265
805	1098	264
806	1099	262
807	1100	261
808	1100	259
809	1101	258
810	1102	257
811	1103	255
812	1104	254
813	1105	252
814	1105	251
815	1106	249
816	1107	248
817	1107	246
818	1108	244
819	1109	243
820	1111	242
821	1112	240
822	1112	239
823	1113	237
824	1114	236
825	1114	234
826	1115	233
827	1116	231
828	1117	230
829	1117	228
830	1118	227
831	1119	226
832	1120	224
833	1121	223
834	1122	221
835	1123	220
836	1124	218
837	1125	217
838	1125	216
839	1126	214
840	1127	213
841	1128	211
842	1129	210
843	1130	208
844	1130	207
845	1131	205
846	1132	204
847	1132	203
848	1133	201
849	1134	200
850	1134	198
851	1135	197
852	1136	195
853	1138	194
854	1139	193
855	1140	191
856	1141	190
857	1142	189
858	1143	187
859	1143	186
860	1144	184
861	1145	183
862	1146	181
863	1147	180
864	1147	179
865	1148	177
866	1149	176
867	1150	174
868	1151	173
869	1151	172
870	1152	170
871	1153	169
872	1154	167
873	1155	166
874	1156	165
875	1157	163
876	1158	162
877	1159	161
878	1160	159
879	1160	158
880	1161	156
881	1162	155
882	1163	154
883	1164	152
884	1164	151
885	1165	149
886	1166	148
887	1167	147
888	1168	145
889	1169	144
890	1169	143
891	1170	141
892	1171	140
893	1171	138
894	1172	137
895	1173	136
896	1174	134
897	1175	133
898	1175	132
899	1176	130
900	1177	129
901	1178	128
902	1179	126
903	1179	125
904	1180	123
905	1181	122
906	1182	121
907	1183	119
908	1183	118
909	1184	117
910	1185	115
911	1185	114
912	1186	113
913	1187	111
914	1187	110
915	1188	109
916	1189	107
917	1190	106
918	1191	104
919	1192	103
920	1192	102
921	1193	100
922	1194	99
923	1194	98
924	1195	96
925	1196	95
926	1197	94
927	1197	92
928	1200	91
929	1201	90
930	1202	89
931	1203	87
932	1204	86
933	1204	85
934	1205	83
935	1206	82
936	1206	81
937	1207	79
938	1208	78
939	1209	77
940	1209	75
941	1210	74
942	1210	73
943	1211	71
944	1212	70
945	1213	69
946	1214	67
947	1215	66
948	1215	65
949	1216	64
950	1217	62
951	1218	61
952	1219	60
953	1220	58
954	1220	57
955	1221	56
956	1222	54
957	1223	53
958	1223	52
959	1224	51
960	1225	49
961	1226	48
962	1227	47
963	1228	45
964	1229	44
965	1229	43
966	1230	41
967	1231	40
968	1231	39
969	1232	38
970	1233	36
971	1234	35
972	1234	34
973	1235	32
974	1236	31
975	1237	30
976	1238	29
977	1238	27
978	1239	26
979	1240	25
980	1240	24
981	1241	22
982	1242	21
983	1243	20
984	1244	18
985	1244	17
986	1245	16
987	1246	15
988	1247	13
989	1247	12
990	1248	11
991	1249	10
992	1250	8
993	1250	7
994	1251	6
995	1252	5
996	1253	3
997	1253	2
998	1254	1
999	1255	0
